Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,1 23,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
#,А,Клуб,Имя,$,П-ть,П-ть-Δ,КЭ,КЭ-Δ,КЭ%,H2h,H2h-Δ,Кап,Кап-Δ,Pts,G,Avg,F,aF,F_1,ToF,Последние игры
20,Вр,Комо,Бюте,5.0,21.0,-1.0,49.3,-13.4,-21.3,44.9,-6.3,0.0,,102,22,4.6,5.6,5.6,0,90.0,+12 +2 +1 +7 +6
21,Зщ,Рома,Манчини,5.5,15.2,-0.3,0.0,,,4.1,,0.1,,100,21,4.8,5.0,3.8,0,89.3,- +7 +6 +2
22,Зщ,Лацио,Хила,5.0,19.4,0.4,18.3,-2.1,-10.3,24.0,0.1,0.1,,99,22,4.5,3.8,3.8,0,84.8,+1 +8 +3 +7 0
23,Вр,Рома,Свилар,6.0,21.3,0.7,8.5,7.0,83.3,12.6,3.6,0.1,,98,22,4.5,5.5,5.5,0,90.0,+6 +7 +7 +2
24,Пз,Кальяри,Палестра,4.5,6.5,2.5,14.1,9.2,65.0,13.0,7.3,0.0,,96,22,4.4,5.0,5.0,3,87.4,+3 +4 +5 +10 +3
25,Зщ,Ювентус,Камбьязо,6.0,8.7,0.5,30.3,3.5,11.6,24.7,3.2,0.1,,96,20,4.8,6.0,6.0,0,71.8,+7 +7 +3 +7
26,Пз,Милан,Рабьо,6.5,13.9,0.5,48.6,-2.8,-5.5,39.1,-1.8,0.2,,96,15,6.4,6.4,6.4,0,78.0,+4 0 +18 +6 +4
27,Пз,Аталанта,де Кетеларе,8.5,14.7,-4.7,27.5,-28.9,-51.3,25.9,-22.9,0.2,-0.6,96,20,4.8,6.8,6.8,0,81.3,+8 +9 +3 +7
28,Пз,Верона,Бернед,5.0,1.7,-0.5,12.0,-2.8,-19.1,5.4,-1.4,0.1,,95,23,4.1,5.2,5.2,2,83.5,+4 +5 +9 +7 +4 +2
29,Пз,Комо,Перроне,5.0,3.8,-1.1,2.8,-0.7,,4.9,-3.3,0.0,,95,20,4.8,5.2,5.2,0,85.6,+10 +4 +3 +5 +4
30,Вр,Милан,Меньян,5.5,15.6,0.1,9.9,-0.7,-6.6,11.1,-0.4,0.1,,95,21,4.5,4.6,4.6,0,90.0,+6 +4 +4 +6 +3
31,Зщ,Интер,Аканджи,5.0,4.0,-2.3,2.1,2.1,,6.0,-2.5,0.0,,93,20,4.7,4.8,4.8,0,74.0,+7 +1 +8 +7 +1
32,Пз,Кальяри,Адопо,5.5,0.6,,0.0,,,0.1,,0.0,,93,23,4.0,6.2,6.2,8,90.0,+9 +4 +5 +5 +8
33,Зщ,Комо,Рамон,4.5,8.1,-1.0,4.9,-9.2,-65.0,12.8,-4.2,0.0,,93,19,4.9,5.0,5.0,0,90.0,+6 0 +7 +7
34,Пз,Комо,Да Кунья,6.5,1.5,0.8,0.0,,,0.9,0.8,0.0,,92,20,4.6,5.6,5.6,0,72.2,+4 0 +4 +6 +14
35,Пз,Удинезе,Карлстрем,6.5,0.7,-0.1,0.0,,,0.2,,0.0,,92,22,4.2,4.0,4.0,0,90.0,+4 +3 +5 +4
